y=662, x=546..550
y=1555, x=552..577
y=1364, x=504..507
x=390, y=1754..1764
x=385, y=788..812
x=505, y=1580..1591
x=473, y=285..290
x=538, y=271..273
y=127, x=438..444
y=250, x=421..438
y=1328, x=513..515
y=803, x=569..572
x=634, y=901..920
x=664, y=1975..1983
y=1549, x=504..506
y=1542, x=625..640
y=350, x=602..624
y=1865, x=540..544
x=405, y=1175..1178
y=609, x=380..386
x=541, y=1746..1757
x=508, y=1493..1507
x=546, y=210..217
x=602, y=1202..1229
y=912, x=516..520
y=1442, x=387..395
y=294, x=617..645
y=992, x=620..623
y=1215, x=410..427
x=588, y=609..621
x=635, y=1280..1307
y=537, x=571..589
y=1089, x=380..386
x=541, y=1832..1843
x=467, y=1433..1437
x=595, y=1078..1080
x=515, y=1127..1148
x=523, y=73..84
x=593, y=946..948
y=166, x=486..531
y=1407, x=506..521
x=631, y=1529..1534
x=415, y=114..129
x=625, y=1225..1243
x=581, y=207..220
x=656, y=175..183
y=64, x=492..510
x=571, y=675..688
x=461, y=558..580
y=240, x=498..513
y=931, x=568..584
y=141, x=510..513
y=1226, x=490..493
x=540, y=1855..1865
x=507, y=1354..1364
y=1835, x=653..655
y=361, x=528..536
x=528, y=1152..1163
y=1275, x=655..666
x=430, y=459..486
x=432, y=1748..1760
y=804, x=628..649
x=656, y=1040..1044
y=1639, x=563..567
x=426, y=213..220
y=1952, x=561..581
y=576, x=573..577
y=1076, x=442..445
x=436, y=349..354
x=401, y=1318..1326
x=410, y=1213..1215
x=568, y=1031..1040
x=503, y=821..825
x=512, y=486..497
x=660, y=1074..1099
y=867, x=507..532
x=578, y=897..909
x=662, y=1347..1360
x=654, y=516..539
x=626, y=160..173
y=44, x=418..434
x=473, y=1643..1653
y=519, x=438..458
x=533, y=1793..1804
y=382, x=424..445
y=1911, x=410..562
x=530, y=1857..1870
x=493, y=1216..1226
x=616, y=1981..1983
x=516, y=245..255
x=495, y=666..669
y=1972, x=633..654
y=1311, x=499..519
x=662, y=1763..1785
x=599, y=941..952
x=651, y=511..523
x=474, y=1498..1499
x=457, y=713..717
x=397, y=1777..1803
y=909, x=578..612
y=1587, x=492..495
x=589, y=946..948
x=662, y=994..1008
x=528, y=349..361
x=602, y=333..350
x=380, y=771..778
x=574, y=1400..1411
y=130, x=566..590
x=380, y=1317..1326
x=512, y=791..795
x=646, y=1883..1889
x=502, y=1623..1628
x=573, y=854..864
x=644, y=401..419
y=1887, x=597..599
x=586, y=1696..1699
x=654, y=868..895
x=600, y=1700..1716
y=744, x=593..614
x=536, y=1578..1583
x=422, y=1708..1728
x=634, y=1354..1356
y=666, x=532..556
y=1882, x=398..414
y=1541, x=400..402
x=416, y=432..438
x=549, y=1456..1468
y=1288, x=494..498
x=449, y=339..342
x=540, y=1540..1543
x=433, y=1370..1374
y=1764, x=631..638
x=600, y=420..444
y=1353, x=439..467
x=637, y=1249..1252
y=1927, x=539..565
x=637, y=843..855
x=532, y=1493..1507
x=450, y=513..515
x=610, y=630..634
x=563, y=718..724
x=473, y=1490..1493
x=629, y=1272..1273
y=1507, x=508..532
y=791, x=561..586
x=635, y=1987..1993
y=496, x=532..548
y=842, x=565..584
x=410, y=1821..1836
x=643, y=489..501
y=523, x=635..651
x=556, y=923..933
x=413, y=232..256
y=1623, x=499..502
x=546, y=263..277
y=933, x=554..556
x=628, y=565..574
x=428, y=1418..1429
x=472, y=762..770
y=1662, x=624..626
x=602, y=1744..1748
x=640, y=344..352
x=424, y=361..382
x=471, y=1536..1552
x=616, y=420..444
x=557, y=1114..1124
x=502, y=507..517
x=464, y=1175..1181
x=576, y=407..417
y=771, x=531..546
y=838, x=476..479
x=522, y=782..799
y=1181, x=464..492
y=517, x=480..502
x=499, y=919..926
x=620, y=850..856
x=560, y=632..642
x=648, y=1073..1099
x=386, y=112..120
x=610, y=489..500
y=1017, x=616..627
y=42, x=487..508
y=539, x=654..664
x=516, y=392..397
y=1019, x=569..587
y=1429, x=409..428
y=523, x=602..604
y=1466, x=511..533
y=1308, x=505..510
x=493, y=343..354
x=432, y=1543..1560
x=605, y=814..816
x=486, y=1189..1196
y=1251, x=534..561
x=566, y=1401..1411
x=642, y=1884..1889
x=406, y=1363..1370
x=464, y=1286..1301
x=620, y=477..490
x=600, y=161..173
x=624, y=333..350
y=770, x=472..494
y=129, x=510..527
x=629, y=30..46
x=604, y=874..886
y=438, x=392..416
x=413, y=1120..1137
y=1293, x=522..546
x=492, y=1578..1587
x=458, y=483..487
x=387, y=930..955
x=610, y=1421..1428
x=464, y=7..32
x=424, y=492..504
y=81, x=460..463
x=609, y=1667..1681
x=598, y=624..637
x=514, y=1400..1404
y=215, x=476..495
y=815, x=532..535
x=457, y=981..991
x=616, y=662..671
x=431, y=1386..1391
x=485, y=1581..1591
x=644, y=958..962
x=442, y=264..267
y=1351, x=578..580
x=482, y=587..595
x=506, y=791..795
y=1710, x=610..612
x=548, y=333..335
x=438, y=238..250
y=1078, x=426..435
y=1645, x=572..596
y=1385, x=539..547
y=1284, x=588..614
y=678, x=448..459
x=462, y=6..32
x=599, y=1028..1039
x=387, y=1962..1974
y=678, x=577..600
y=353, x=387..408
x=579, y=799..808
y=342, x=449..457
y=231, x=544..548
y=1076, x=454..458
x=468, y=1762..1780
y=853, x=470..475
x=484, y=1013..1036
x=579, y=1426..1449
y=808, x=559..579
x=566, y=411..413
y=1543, x=540..547
y=65, x=576..578
x=519, y=1100..1108
x=411, y=863..890
y=1244, x=410..412
x=659, y=774..794
x=621, y=1860..1866
y=504, x=420..424
y=795, x=506..512
x=446, y=1345..1349
x=429, y=767..785
x=519, y=1373..1381
x=469, y=446..459
x=457, y=131..144
x=505, y=1304..1308
x=465, y=1866..1882
x=477, y=316..323
y=905, x=397..406
x=398, y=1039..1041
x=661, y=460..464
x=552, y=630..639
x=590, y=819..822
y=1473, x=434..445
y=210, x=525..529
x=505, y=326..338
x=584, y=207..220
x=529, y=1670..1695
x=523, y=1432..1446
y=1411, x=566..574
y=1677, x=438..445
y=1504, x=432..448
x=583, y=370..374
x=424, y=918..923
y=727, x=529..570
x=637, y=1702..1710
y=1019, x=432..445
x=406, y=1059..1072
y=139, x=418..433
x=529, y=1359..1363
x=567, y=1613..1639
x=493, y=388..400
y=1890, x=544..546
x=648, y=36..40
x=546, y=656..662
y=331, x=448..457
x=568, y=918..931
x=578, y=1323..1351
x=453, y=1322..1329
y=42, x=393..397
x=606, y=1594..1609
y=620, x=509..531
x=386, y=581..609
y=358, x=488..505
x=592, y=819..822
x=432, y=1009..1019
x=461, y=1528..1530
y=1270, x=476..496
y=1033, x=476..478
x=602, y=521..523
x=594, y=302..318
x=623, y=1225..1243
y=123, x=448..467
x=543, y=83..97
y=6, x=584..608
x=424, y=1985..1990
y=1039, x=583..599
y=1304, x=505..510
x=547, y=1541..1543
y=220, x=409..426
x=580, y=965..968
x=582, y=646..650
x=565, y=1050..1062
x=505, y=1660..1671
x=523, y=1373..1381
x=490, y=1216..1226
y=849, x=435..448
x=531, y=155..166
x=538, y=1705..1716
x=495, y=791..802
x=428, y=1004..1005
x=507, y=712..715
x=418, y=587..596
x=442, y=1985..1990
x=483, y=980..991
x=499, y=130..132
y=1905, x=622..641
x=643, y=1213..1219
x=448, y=450..466
x=493, y=80..98
x=572, y=546..557
y=32, x=462..464
y=1227, x=574..576
y=1005, x=489..504
x=642, y=686..690
y=384, x=609..631
y=255, x=516..535
x=467, y=665..669
x=521, y=114..126
x=660, y=1549..1553
y=159, x=567..587
y=1381, x=476..484
x=612, y=1549..1570
x=411, y=489..513
x=615, y=1861..1866
x=558, y=450..462
y=1307, x=623..635
x=459, y=1151..1172
x=489, y=131..132
x=597, y=1359..1362
y=502, x=452..472
x=622, y=33..57
x=539, y=1832..1843
x=645, y=1628..1631
y=1124, x=557..632
x=397, y=900..905
x=634, y=1657..1670
y=1345, x=520..523
x=639, y=478..490
x=546, y=105..113
x=432, y=961..966
x=410, y=1901..1911
y=1804, x=516..533
x=606, y=902..904
y=1181, x=394..414
x=631, y=374..384
y=146, x=497..519
x=498, y=1518..1531
x=554, y=923..933
x=610, y=616..621
y=778, x=380..404
x=610, y=140..144
x=658, y=1152..1163
y=1065, x=532..543
x=632, y=1222..1248
y=778, x=503..509
y=816, x=605..630
x=473, y=870..877
x=638, y=935..948
x=573, y=1919..1931
x=514, y=1357..1367
x=506, y=484..494
y=825, x=573..599
x=635, y=511..523
x=512, y=1400..1404
y=1230, x=485..503
x=538, y=54..57
x=590, y=196..223
y=496, x=600..602
y=1870, x=530..550
y=646, x=582..585
x=433, y=374..376
y=1531, x=498..555
x=645, y=36..40
x=427, y=1214..1215
x=399, y=1616..1643
x=426, y=720..726
y=890, x=411..429
x=533, y=1127..1148
x=597, y=369..374
x=389, y=670..695
x=535, y=1480..1482
x=591, y=643..654
y=54, x=452..455
x=520, y=892..912
x=594, y=1422..1428
y=533, x=457..466
y=155, x=543..553
x=484, y=914..924
y=1058, x=489..517
x=379, y=1986..1999
y=812, x=385..394
y=1362, x=597..607
y=354, x=493..499
x=503, y=776..778
x=662, y=1140..1149
x=435, y=1052..1078
x=597, y=139..144
x=495, y=213..215
y=478, x=476..495
x=552, y=1881..1893
y=1891, x=581..608
x=544, y=1855..1865
y=1629, x=462..464
x=467, y=113..123
y=376, x=433..436
x=423, y=766..785
x=448, y=736..741
x=438, y=1841..1867
x=489, y=996..1005
x=531, y=1768..1781
y=1137, x=411..413
y=991, x=457..483
x=649, y=801..804
x=400, y=344..350
y=132, x=489..499
x=596, y=1385..1389
x=529, y=1751..1754
x=536, y=1003..1006
y=1523, x=650..668
x=501, y=588..595
y=1162, x=491..503
x=567, y=525..537
x=566, y=184..189
x=666, y=1272..1275
y=1999, x=379..393
y=374, x=452..466
y=1889, x=642..646
x=414, y=265..267
x=612, y=51..54
x=589, y=254..257
x=485, y=251..265
x=525, y=197..210
y=1389, x=596..605
y=1312, x=575..594
x=424, y=1343..1351
x=597, y=617..621
y=1381, x=519..523
x=434, y=1725..1738
x=405, y=914..921
x=440, y=1267..1272
x=428, y=1083..1096
y=315, x=527..529
x=498, y=211..216
x=504, y=49..59
x=607, y=856..868
x=641, y=1899..1905
x=488, y=418..420
x=490, y=510..514
x=667, y=1262..1263
y=650, x=582..585
x=592, y=835..848
y=252, x=621..645
x=574, y=144..147
y=1866, x=615..621
x=445, y=1666..1677
y=1153, x=463..470
x=532, y=481..496
y=669, x=467..495
x=442, y=1190..1212
x=491, y=1491..1493
y=703, x=550..554
x=523, y=1525..1527
x=558, y=264..275
y=1175, x=501..506
y=900, x=525..550
x=397, y=1275..1285
x=503, y=1151..1162
y=1008, x=658..662
y=1449, x=575..579
x=520, y=1341..1345
x=393, y=1985..1999
y=1553, x=660..668
x=448, y=828..849
y=320, x=390..410
y=709, x=411..421
x=630, y=391..402
y=1083, x=575..609
x=586, y=327..330
y=191, x=544..551
y=327, x=578..586
y=1485, x=523..542
x=581, y=1725..1751
x=393, y=25..42
y=487, x=389..398
x=548, y=482..496
x=592, y=1695..1699
x=655, y=489..501
y=352, x=640..665
y=974, x=563..621
x=648, y=1307..1320
x=452, y=1747..1760
x=532, y=859..867
x=632, y=1114..1124
y=925, x=443..450
x=389, y=1153..1156
x=661, y=1566..1571
y=600, x=450..477
y=1728, x=408..422
x=418, y=135..139
y=491, x=447..465
y=483, x=455..458
y=1112, x=435..448
x=515, y=1317..1328
x=503, y=1198..1209
x=521, y=1320..1331
x=401, y=1919..1931
x=550, y=676..688
x=504, y=1539..1549
y=1609, x=471..497
y=274, x=638..643
x=571, y=510..537
y=217, x=539..546
y=1595, x=575..600
x=414, y=1870..1882
x=445, y=586..596
x=518, y=590..608
x=546, y=759..771
y=1273, x=626..629
x=631, y=1752..1764
x=668, y=1509..1523
y=952, x=578..599
x=416, y=987..990
y=948, x=617..638
x=618, y=1453..1476
x=485, y=1218..1230
x=620, y=552..580
x=433, y=489..513
y=969, x=423..438
y=64, x=458..462
y=938, x=547..564
x=412, y=632..651
y=46, x=629..655
x=458, y=509..519
x=466, y=523..533
x=435, y=1091..1112
x=407, y=11..23
x=504, y=1415..1424
y=1067, x=480..485
x=534, y=1250..1251
x=565, y=642..654
y=959, x=454..458
x=570, y=716..727
x=515, y=178..188
x=498, y=1286..1288
x=410, y=1231..1244
x=529, y=1338..1348
y=1285, x=397..419
x=540, y=287..297
x=624, y=1093..1104
x=562, y=1901..1911
y=557, x=572..577
x=457, y=1606..1611
x=564, y=1030..1040
y=1527, x=523..549
x=384, y=710..731
x=600, y=494..496
x=450, y=598..600
x=635, y=661..671
y=185, x=524..526
x=452, y=449..466
x=567, y=153..159
y=175, x=438..450
x=624, y=1662..1667
x=401, y=12..23
x=660, y=255..278
y=897, x=535..542
